year,death
1952,7239
1953,8358
1954,8793
1955,9398
1956,9661
1957,9934
1958,9478
1959,9808
1960,9675
1961,10660
1962,11579
1963,11695
1964,12952
1965,14171
1966,14180
1967,14808
1968,15559
1969,15984
1970,16387
1971,17506
1972,18034
1973,16861
1974,14526
1975,14166
1976,14799
1977,14127
1978,13033
1979,13295
1980,13636
1981,13287
1982,13113
1983,12728
1984,12562
1985,11387
1986,11947
1987,10742
1988,11497
1989,11476
1990,11215
1991,10483
1992,9900
1993,9568
1994,9019
1995,8891
1996,8541
1997,8444
1998,8918
1999,8487
2000,8079
2001,8160
2002,7655
2003,6058
2004,5593
2005,5318
2006,4709
2007,4620
2008,4275
2009,4273
2010,3992
2011,3963
2012,3653
2013,3268
2014,3384
2015,3461
2016,3477
